date           NoDur     Durbl     Manuf     Enrgy     HiTec     Telcm     Shops     Hlth      Utils     Other
192607     32.25     52.84     39.13     84.34     89.79    350.36     52.36     26.65     80.88     52.64
192608     32.66     60.82     40.82     83.26     92.34    353.27     50.78     26.91     86.50     53.60
192609     33.88     62.68     41.82     85.89     94.53    360.96     50.41     27.95     84.66     55.76
192610     34.04     65.53     42.08     82.60     93.42    364.16     50.40     28.08     86.00     55.67
192611     33.51     59.98     40.44     81.85     89.09    363.74     47.61     27.70     83.49     53.94
192612     35.47     58.55     41.96     80.97     93.05    369.65     49.34     29.05     86.30     55.24
192701     35.50     64.16     43.08     84.43     92.28    371.52     50.69     28.88     85.79     56.63
192702     35.94     63.42     42.93     85.27     91.18    378.52     48.93     30.13     84.10     57.83
192703     37.02     68.49     45.28     86.07     95.01    393.55     50.96     30.43     87.64     60.53
192704     37.70     69.42     45.65     80.56     95.62    500.46     52.35     30.64     87.66     61.49
192705     38.89     71.47     45.87     76.32    100.78    489.80     53.20     31.47     88.88     61.96
192706     41.97     74.73     48.48     79.58    107.86    506.18     53.49     32.53     96.82     65.64
192707     39.53     67.99     45.91     84.69     95.80    421.56     48.84     33.05    100.48     59.21
192708     41.49     76.74     50.94     87.02    107.19    437.31     53.32     36.12    105.48     62.63
192709     42.41     81.60     52.61     86.50    113.10    439.17     60.12     36.02    108.73     61.68
192710     44.70     86.10     54.85     89.05    114.04    462.04     63.12     37.99    117.36     64.27
192711     42.47     82.20     51.86     86.98    111.03    452.37     59.18     39.62    111.96     61.72
192712     45.24     85.78     57.18     90.22    122.51    465.15     65.46     40.86    118.66     64.82
192801     46.26     92.27     58.65     90.13    123.18    465.55     65.27     40.55    120.98     65.66
192802     46.48     89.05     58.18     88.30    122.64    466.92     64.76     41.46    127.73     64.72
192803     44.47     89.57     57.21     87.64    121.77    465.52     63.48     34.35    131.34     63.26
192804     46.11    114.14     61.60     92.09    144.45    468.84     68.95     37.75    139.68     66.77
192805     45.85    115.63     62.37    105.92    147.65    592.00     69.07     38.56    154.54     69.35
