DATE,CBONDRET,TBONDRET,CPIUS
192601,0.72,NaN,0
192602,0.45,NaN,0
192603,0.84,NaN,-0.56
192604,0.97,NaN,0.56
192605,0.44,NaN,-0.56
192606,0.04,NaN,-0.56
192607,0.57,NaN,-1.13
192608,0.44,NaN,-0.57
192609,0.57,NaN,0.57
192610,0.97,NaN,0.57
192611,0.57,NaN,0.57
192612,0.56,NaN,0
192701,0.56,NaN,-1.13
192702,0.69,NaN,-0.57
192703,0.83,NaN,-0.57
192704,0.55,NaN,0
192705,-0.11,NaN,0.58
192706,0.43,NaN,1.15
192707,0.03,NaN,-1.7
192708,0.83,NaN,-0.58
192709,1.49,NaN,0.58
192710,0.55,NaN,0.58
192711,0.68,NaN,-0.57
192712,0.68,NaN,0
192801,0.27,NaN,0
192802,0.68,NaN,-1.16
192803,0.41,NaN,0
192804,0.14,NaN,0
192805,-0.78,NaN,0.58
192806,-0.24,NaN,-0.58
192807,-0.1,NaN,0
192808,0.83,NaN,0
192809,0.3,NaN,1.17
192810,0.83,NaN,-0.58
192811,-0.36,NaN,0
192812,0.84,NaN,-0.58
192901,0.43,NaN,0
192902,0.3,NaN,0
192903,-0.87,NaN,-0.58
192904,0.19,NaN,-0.59
192905,0.45,NaN,0.59
192906,-0.46,NaN,0.59
192907,0.2,NaN,1.17
192908,0.2,NaN,0
192909,0.34,NaN,0
192910,0.73,NaN,0
192911,-0.18,NaN,0
192912,1.92,NaN,-0.58
193001,0.59,NaN,-0.58
193002,0.72,NaN,-0.58
193003,1.38,NaN,-0.59
193004,0.84,NaN,0.59
193005,0.57,NaN,-0.59
193006,1.1,NaN,-0.59
193007,0.56,NaN,-1.19
193008,1.36,NaN,-0.6
193009,1.08,NaN,0.61
193010,0.54,NaN,-0.6
193011,-0.12,NaN,-0.61
193012,-0.9,NaN,-1.83
193101,2.03,NaN,-1.24
193102,0.68,NaN,-1.26
193103,0.94,NaN,-0.64
193104,0.67,NaN,-0.64
193105,1.34,NaN,-1.29
193106,0.52,NaN,-1.31
193107,0.52,NaN,0
193108,0.12,NaN,0
193109,-0.14,NaN,-0.66
193110,-3.63,NaN,-0.67
193111,-1.89,NaN,-1.34
193112,-2.86,NaN,-0.68
193201,-0.52,NaN,-2.05
193202,-2.38,NaN,-1.4
193203,3.56,NaN,-0.71
193204,-1.76,NaN,-0.71
193205,1.07,NaN,-1.44
193206,-0.09,NaN,-0.73
193207,0.43,NaN,0
193208,4.36,NaN,-0.74
193209,3.01,NaN,-0.74
193210,0.74,NaN,-0.75
193211,0.73,NaN,-0.75
193212,1.39,NaN,-0.76
193301,5.47,NaN,-1.53
193302,-5.23,NaN,-1.55
193303,0.47,NaN,-0.79
193304,-0.95,NaN,0
193305,5.88,NaN,0
193306,1.9,NaN,0.79
193307,1.61,NaN,3.15
193308,0.93,NaN,0.76
193309,-0.14,NaN,0
193310,0.4,NaN,0
193311,-2.48,NaN,0
193312,2.57,NaN,0
193401,2.57,NaN,0
193402,1.46,NaN,0.76
193403,1.87,NaN,0
193404,1.04,NaN,0
193405,0.9,NaN,0
193406,1.58,NaN,0.75
193407,0.47,NaN,0
193408,0.47,NaN,0
193409,-0.61,NaN,1.49
193410,1.02,NaN,-0.74
193411,1.29,NaN,0
193412,1.01,NaN,-0.74
193501,2.11,NaN,1.49
193502,1.41,NaN,0.74
193503,0.43,NaN,0
193504,1.12,NaN,0.73
193505,0.42,NaN,0
193506,1.12,NaN,-0.72
193507,1.11,NaN,0
193508,-0.42,NaN,0
193509,0,NaN,0
193510,0.42,NaN,0
193511,0.69,NaN,0.73
193512,0.83,NaN,0
193601,0.82,NaN,0
193602,0.54,NaN,0
193603,0.82,NaN,-0.72
193604,0.26,NaN,0
193605,0.4,NaN,0
193606,0.82,NaN,0.73
193607,0.11,NaN,0.72
193608,0.67,NaN,0.72
193609,0.67,NaN,0
193610,0.25,NaN,0
193611,1.09,NaN,0
193612,0.1,NaN,0
193701,0.24,NaN,0.71
193702,-0.46,NaN,0
193703,-1.14,NaN,0.71
193704,0.68,NaN,0.7
193705,0.4,NaN,0.7
193706,0.53,NaN,0
193707,0.39,NaN,0.69
193708,-0.17,NaN,0
193709,0.25,NaN,0.69
193710,0.67,NaN,0
193711,0.67,NaN,-0.68
193712,0.67,NaN,-0.69
193801,0.38,NaN,-1.39
193802,0.1,NaN,-0.7
193803,-0.87,NaN,0
193804,1.38,NaN,0.71
193805,0.1,NaN,-0.7
193806,0.95,NaN,0
193807,0.66,NaN,0
193808,-0.19,NaN,0
193809,1.09,NaN,0
193810,0.8,NaN,-0.71
193811,0.37,NaN,0
193812,1.22,NaN,0
