Month;p11;p12;p13;p14;p15;p21;p22;p23;p24;p25;p31;p32;p33;p34;p35;p41;p42;p43;p44;p45;p51;p52;p53;p54;p55;Rm;SMB;HML
192607;0.0361;-0.0369;-0.0064;-0.0142;-0.0064;0.0342;0.0326;0.0242;-0.0127;0.0246;0.0156;0.0286;-0.0134;0.0334;-0.0216;0.0329;0.0124;0.0129;0.0055;0.0256;0.0318;0.0608;0.02;0.0293;0.0056;0.0262;-0.0216;-0.0292
192608;-0.0194;-0.0678;0.0381;0.0121;0.0482;0.0159;-0.0291;0.0302;0.0214;0.0747;-0.0106;0.0167;0.0208;0.0486;0.0814;0.0076;0.0411;0.0193;0.0253;0.0447;0.0117;0.041;0.0182;0.0564;0.0776;0.0256;-0.015;0.0488
192609;-0.0641;0.0345;-0.0519;0.0308;0.0075;-0.0281;-0.0232;0.0115;-0.0154;-0.0261;-0.0046;0.0125;-0.0237;0.0101;-0.0274;0.0187;-0.0008;-0.0184;0.0156;0.0218;-0.0137;0.0366;-0.0023;-0.003;-0.0243;0.0036;-0.0138;-0.0001
192610;-0.0866;-0.1002;-0.038;0.0004;-0.0306;-0.0365;-0.0377;-0.0702;-0.0629;0.0008;-0.048;-0.0223;-0.0005;-0.0173;-0.0373;0.0013;-0.0171;-0.0233;-0.0295;-0.0521;-0.0314;-0.0313;-0.0221;-0.0459;-0.0581;-0.0343;0.0004;0.0071
192611;0.0377;0.1242;0.0231;-0.0336;0.014;0.015;-0.0277;0.0403;0.0346;0.0162;0.0178;0.0464;0.0327;0.0354;0.034;0.0354;0.0228;0.0385;0.0504;0.0178;0.0431;0.0235;0.0149;0.0355;0.0256;0.0239;-0.002;-0.0031
192612;0.1365;-0.023;-0.01;0.0522;0.0215;0.0463;0.0451;0.0281;0.0071;0.0338;-0.0131;0.0202;-0.0067;0.0317;0.0087;0.0252;0.0231;0.0224;0.0265;0.018;0.0152;0.0346;0.0207;0.0575;0.0241;0.0277;-0.0001;-0.001
192701;0.0037;-0.0781;-0.0222;0.0483;0.0163;0.0006;-0.0519;-0.014;-0.0025;0.1135;0.0028;-0.0037;0.0033;0.025;0.0255;0.0285;0.0165;-0.0073;0.0049;0.076;-0.0087;0.0032;-0.0044;0.0049;0.0422;-0.001;-0.003;0.0479
192702;0.0244;0.07;0.1079;0.0505;0.0945;0.007;0.0767;0.0782;0.0428;0.078;0.0638;0.0511;0.0563;0.0693;0.1363;0.0533;0.036;0.0295;0.0622;0.1126;0.0341;0.051;0.0337;0.0498;0.0627;0.0432;-0.0024;0.0335
192703;0.0628;-0.0195;-0.0584;-0.0549;-0.0318;-0.0178;-0.0101;0.0009;-0.022;-0.0083;0.0071;-0.0388;-0.0073;-0.0229;-0.0599;-0.0204;-0.0053;-0.0028;-0.0186;0.054;0.0064;0.0202;-0.0046;0.0072;-0.0384;0.0032;-0.0187;-0.0258
192704;0.0572;0.0408;0.0424;0.0472;0.059;-0.0161;-0.0472;-0.0183;0.0282;0.0408;-0.0265;0.0107;-0.0037;0.0247;0.0103;0.005;0.0177;-0.0074;0.0034;0.065;0.0267;0.0091;-0.006;-0.0018;-0.0353;0.0041;0.0028;0.0095
